nctId,briefTitle,eligibilityCriteria,healthyVolunteers,sex,genderBased,minimumAge,maximumAge,stdAges,studyPopulation,samplingMethod
NCT01674426,Pathogenesis of Functional Hypothalamic Amenorrhea,"Inclusion Criteria:

* women with functional hypothalamic amenorrhea
* day awake / night asleep schedule

Exclusion Criteria:

* eating disorders, depression, excessive exercise or any other cause of amenorrhea and anovulation other than functional hypothalamic amenorrhea
* weight loss greater than 10 pounds when amenorrhea developed
* running more than 10 miles per week or exercising more than 10 hours per week",False,FEMALE,,18 Years,35 Years,['ADULT'],,
NCT02984696,Total Antioxidant Capacity Before and After HRT in Hypotalamic Amenorrhea,"Inclusion Criteria:

* Hypotalamic Amenorrhea

Exclusion Criteria:

* diabetes mellitus (or impaired glucose tolerance as determined by a standard 75 gr oral glucose tolerance test)
* hypertension
* significant liver or renal impairment
* other hormonal dysfunction (hypothalamic, pituitary, PCOS, thiroidal or adrenal)
* neoplasms",False,FEMALE,,18 Years,35 Years,['ADULT'],,
NCT02871986,Pubertal Induction in Individuals With Hypogonadism,"Inclusion Criteria:

1. Have a diagnosis of hypogonadism (Turner's syndrome, hypogonadotrophic hypogonadism, primary ovarian insufficiency, hypopituitarism, hypothalamic amenorrhoea, transgender)
2. ≥ 10 years of age
3. Oestrogen naïve i.e. no prior commencement of oestrogen treatment
4. Breast Tanner stage ≤ than 2

Exclusion Criteria:

1. Previous oncology treatment
2. Primary amenorrhoea secondary to chronic medical comorbidity
3. PCOS diagnosis",False,ALL,,10 Years,30 Years,"['CHILD', 'ADULT']",Individuals with hypogonadism requiring pubertal induction,PROBABILITY_SAMPLE
NCT01165619,"Detailed Clinical, Biochemical and Genetic Characterization in Gonadotropin-releasing Hormone (GnRH) Deficiency Disorders","Inclusion Criteria:

* Over the age of 18 for men
* Between the ages of 18 and 40 for women
* For reproductive disorder population: Current or previous diagnosis of Idiopathic Hypogonadotropic Hypogonadism or Hypothalamic Amenorrhea

Exclusion Criteria:

* chronic disease (hypertension, high cholesterol, diabetes, asthma, etc)
* polycystic ovarian syndrome for women
* prescription medication use (other than allergy meds) for control populations
* irregular menstrual cycles for healthy female control population (cycle length longer than 35 days or shorter than 25 days. cycle length varies by more than 5 days. less than 9 periods per year)",True,ALL,,18 Years,40 Years,['ADULT'],The reproductive disorder populations will be recruited from the reproductive endocrine clinic at the Mass General Hospital. The control populations will be recruited from Boston and surrounding communities,PROBABILITY_SAMPLE
NCT03841981,Body Fat as Determinant of Female Gonadal Dysfunction,"Inclusion Criteria

Group I

* Body mass index between 18.5 and 25.0 kg/m2.
* Group 1 ovulatory dysfunction \[World Health Organization (WHO) classification\].
* Normal/low gonadotrophin levels \[follicle-stimulating hormone (FSH) and luteinizing (LH) \< 10 IU/l\] and low estradiol (\< 50 pg/ml).
* Moderate-vigorous intensity physical activity (\> 5 hours per week) plus low energy availability (\< 30 kcal/per kg of lean mass).
* Exclusion of secondary etiologies
* Informed consent signed.

Group II:

* Polycystic ovary syndrome phenotype I, II and III \[National Institute of Health (NIH)-2012\] with hyperandrogenemia (http://prevention.nih.gov/workshops/2012/resources.aspx).
* Body mass index between 18.5 and 40.0 kg/m2.
* Informed consent signed.

Group III:

* Polycystic ovary syndrome phenotype IV (NIH-2012) (http://prevention.nih.gov/workshops/2012/resources.aspx).
* Body mass index between 18.5 and 40.0 kg/m2.
* Informed consent signed.

Group IV:

* Body mass index between 18.5 and 25.0 kg/m2.
* Regular menses.
* Normal gonadotropins and estradiol levels at follicular phase.
* Moderate-vigorous intensity physical activity (\> 5 hours per week) with normal energy availability (\> 30 kcal/per kg of lean mass).
* Informed consent signed.

Group V:

* No signs or symptoms of hyperandrogenism.
* No exercise or mild intensity physical activity.
* Regular menses.
* Body mass index between 18.5 and 40.0 kg/m2.
* Informed consent signed.

Exclusion Criteria (Groups I-V)

* Oral drugs interfering with ovulation (glucocorticoids, antipsychotics, antidepressants, contraceptives, sex steroids and/or opioids) for the previous 6 months to study inclusion.
* Current pregnancy or lactation, or during the previous 6 months to study inclusion.
* Asherman's syndrome or outflow tract disorders.
* Current smoking or alcohol intake \> 40 g per day.
* Previous diagnosis of glucose intolerance, hypertension, dyslipidemia, known heart or lung diseases, kidney disease, liver disease, celiac disease or any other malabsorptive condition, chronic inflammatory disease or malignancy.",True,FEMALE,,18 Years,40 Years,['ADULT'],"Patients with exercise-associated functional amenorrhea and polycystic ovary syndrome will be consecutively recruited from our Reproductive Endocrinolgy clinic. Those premenopausal adult women are referred to clinic because of symptoms of functional androgen excess such as hirsutism or menstrual dysfunction.

The control group (Groups IV and V) will include healthy female volunteers recruited - contemporarily with the recruitment of patients - from the hospital's staff and overweight or obese women seeking medical attention in our department.",NON_PROBABILITY_SAMPLE
NCT02858336,"CaREFREE Study (Calorie Restriction, Environment and Fitness: Reproductive Effects Evaluation Study)","* INCLUSION CRITERIA:

Participants will be enrolled without regard to race or ethnicity. Each potential participant must meet all of the following inclusion criteria in order to be eligible to enroll in the study:

1. Female
2. Between 18 and 28 years of age (inclusive)
3. Reported menarche between the ages of 11 and 14 years
4. Gynecological age of less than or equal to 14 years
5. A history of self-reported regular menstrual cycles when not on contraceptive medication of between 25 and 35 days (inclusive) at prescreen and knowledge of date of onset of menses before the screening visit
6. A BMI of 18.5 to 27 kg (Summation)m(2) and a weight \>= 93 lbs.
7. Agrees to use barrier contraception method for the duration of the study and the follow up period
8. Agrees to abstain from alcohol consumption during both 5-day diet/exercise study interventions
9. Agrees to abstain from donating blood during the study and within 30 days of completing the study
10. Agrees to abstain from biotin supplements for the duration of the study
11. Is willing and able to fulfill the requirements of the protocol and to provide informed consent
12. Able to speak and read English
13. Lives within 50 miles of the Clinical Research Unit

EXCLUSION CRITERIA:

A potential participant meeting any of the following exclusion criteria is not eligible to enroll in the study:

1. Currently lactating or pregnant or planning on becoming pregnant for the duration of the study
2. Has ever given birth
3. History in the past 3 months of dieting or weight loss amounting to greater than 2 kg
4. \> 4 hours per week of aerobic exercise for the past 3 months
5. Has initiated training for an athletic sport or event in the past 3 months that, in the opinion of the investigator, may interfere with the results of the study
6. Currently using hormone-based contraception, including those administered orally, vaginally, via injection, sub-dermally, or transdermally
7. Current use of medications or supplements that may interfere with the results of the study, including:

   i.Steroids

   ii.Hormone-based contraception

   iii.Sleeping pills

   iv.Homeopathic substances (e.g. Chinese herbs, protein or other powders, and other-the-counter extracts)

   v.Stimulants (e.g. Ritalin)

   vi.Antidepressants or anti-epileptic medications or centrally acting anti-hypertensive medications
8. Current use of recreational drugs (alcohol intake will be monitored and excluded during the two intervention periods)
9. Unable to consume food containing dairy or nuts
10. Has currently or has a history of any of the following: autoimmune, heart, liver, renal disease, diabetes, or another health condition deemed by the PI to be a contraindication to study participation. History of thyroid disorder is permissible if the patient is biochemically euthyroid on replacement.

Additional Eligibility Criteria to be Met Prior to Start of Intervention(s):

Criteria 1 Habitual energy intake between 35-55 kcal/kg LBM\*day

Criteria 2 VO2max less than or equal to 40 ml/kg/min with the option to increase this at the discretion of the PI, depending on the current and past exercise level of the participant.

Criteria 3 Hemoglobin, prolactin and TSH within normal female range for testing laboratory.

Criteria 4 Ovulation confirmed in the cycle before each study intervention by self-reported positive urine test, ultrasound and/or progesterone blood-levels",False,FEMALE,,18 Years,28 Years,['ADULT'],,
NCT00556036,Hormone Dynamics and Bone Mineral Density in Anorexia Nervosa v. Hypothalamic Amenorrhea,"Inclusion Criteria:

* Amenorrhea for at least three months (unless participating as healthy control)
* Normal TSH or free thyroxine (free T4).

Exclusion Criteria:

* A condition known to affect bone metabolism, including Cushing's syndrome or renal failure, with the exception of bone fracture.
* Any medication known to affect bone metabolism within 3 months of the study, including estrogen and progestins. Patients receiving depot medroxyprogesterone (Depo-Provera) will be excluded from participating for 6 months after their last injection.
* Pregnant and/or breastfeeding.
* Diabetes mellitus.
* Active substance abuse, including alcohol.",True,FEMALE,,18 Years,45 Years,['ADULT'],community sample and referrals by specialists,NON_PROBABILITY_SAMPLE
NCT05967819,Effects of Physical and Psychosocial Stress on Functional Hypothalamic Amenorrhea in Exercising Women,"Inclusion Criteria:

* participates in structured running or cycling exercise for at least 30 minutes on 4 days per week or more
* have regular periods every 21 to 35 days
* have not used hormonal contraceptives for at least the past 6 months
* are not currently or trying to become pregnant or are breastfeeding, and have not been pregnant or breastfeeding for the past 12 months
* have never been diagnosed with a menstrual cycle disorder (e.g., menorrhagia, amenorrhea, dysmenorrhea, polycystic ovary syndrome \[PCOS\], endometriosis, premenstrual dysphoric disorder \[PMDD\], menstrual migraines, ovarian cancer, ovarian insufficiency, uterine or endometrial cancer)
* have never been diagnosed with a metabolic disease (e.g., hypothyroidism, hyperthyroidism, Cushing disease, Addison's disease, diabetes)

Exclusion Criteria:

* missing \> 4 consecutive days of aerobic exercise (i.e., running, cycling, cross training) if assigned to the exercise intervention groups
* they indicate they ""Could not participate at all due to a health problem"" or have had to modify their exercise training, felt their injury, illness, or other health problem has affected their exercise performance, or experienced symptoms/ health complaints greater than ""To a minor extent"" on the Oslo Sports Trauma Research Center Questionnaire (exercise training intervention group)
* demonstrate clinical low energy availability as defined as energy availability \<30 Kcal/kg fat free mass in the first two months of at-home monitoring
* report menstrual cycle lengths \<21 days or \>35 days in the first two months of at-home monitoring
* do not demonstrate an anticipated rise in progesterone levels during the latter half of their cycle and luteinizing hormone levels at mid-cycle compared to tests taken during the first few days after menses in the first two months of at-home monitoring
* begin taking a hormonal contraceptive
* become pregnant
* are diagnosed with a menstrual cycle disorder (e.g., menorrhagia, amenorrhea, dysmenorrhea, polycystic ovary syndrome \[PCOS\], endometriosis, premenstrual dysphoric disorder \[PMDD\], menstrual migraines, ovarian cancer, ovarian insufficiency, uterine or endometrial cancer)
* are diagnosed with a metabolic disease (e.g., hypothyroidism, hyperthyroidism, Cushing disease, Addison's disease, diabetes), 10) are diagnosed with a major cardiovascular disease, respiratory disease, or musculoskeletal injury
* are unable to follow instructions for any of the procedures",True,FEMALE,,18 Years,35 Years,['ADULT'],,
NCT00889512,The Luveris In Vitro Fertilization Trial,"Inclusion Criteria:

1. 30 women under 38 years old at time of signing Informed Consent Form.
2. Evidence of hypothalamic amenorrhea (irregular menses and FSH and LH \<5 mIU/mL), uncorrected hyperprolactinemia (prolactin levels 10% above the upper limit of normal) or iatrogenic hypothalamic hypogonadism secondary to GnRHa suppression.
3. In good general health off of current medications which may confound response to study medications except GnRHa (Lupron Depot).
4. Desire to seek pregnancy actively during the study period.
5. A normal uterine cavity must have been confirmed by either hysteroscopy or hydrosonogram within two years of entering the study.
6. A semen analysis on the male partner deemed adequate for IVF by the attending physician within the past year or donor sperm available for insemination.
7. Only one treatment cycle per patient will be studied.

Exclusion Criteria:

1. uncorrected thyroid disease.
2. heart disease (New York Heart Association Class II or higher).
3. a history of, or suspected cervical, endometrial, or breast cancer. A normal Pap smear result within the last 24 months will be required.
4. enrolled into other studies that require medications, limit sex, or otherwise prevent compliance with the protocol at the same time.
5. to take other medications known to affect reproduction.",False,FEMALE,,18 Years,38 Years,['ADULT'],,
NCT05448924,Isolated Growth Hormone Deficiency and Amennorrhea,"Inclusion Criteria:

* A single female participant with amenorrhea

Exclusion Criteria:

* The study only included the above subject",False,FEMALE,,,,"['CHILD', 'ADULT', 'OLDER_ADULT']",This 14-year old female came to the gynaecology clinic with a chief complaint of amenorrhea,NON_PROBABILITY_SAMPLE
NCT06583408,The REgistry of Very Early Estrogen and AnovuLation,"Inclusion Criteria:

* 3 or more months of consecutive amenorrhea with a diagnosis of functional hypothalamic amenorrhea or screening hormones consistent with functional hypothalamic amenorrhea including but not limited to:

  * Estradiol: \< 50pg/mL
  * LH: \< 10 IU/mL
  * FSH: \< 10 IU
  * Testosterone: 2 - 45 ng/dL
  * Free Testosterone: 0.1 - 6.4 pg/mL
  * FT4: 0.93 - 1.70 ng/dL
  * Prolactin: \< 20 ng/mL
  * AMH: \> 1 ng/mL
  * Urine or serum human chorionic gonadotropin: Negative
* LH:FSH Ratio \<1
* No signs of male-like hair growth on the upper lip, chin, chest, abdomen, buttocks, or back
* Does not have a diagnosis for secondary amenorrhea, including prolactinoma, PCOS, premature ovarian insufficiency, pituitary surgery, infection, or infarction
* Premenopausal status determined by WISE criteria
* Able to give informed consent
* Able to read English

Exclusion Criteria:

* Parturition/lactating in the last 6-12 months
* Lack of consent",False,FEMALE,,18 Years,40 Years,['ADULT'],"The study subjects are women aged 18-40 years old with a diagnosis of Functional Hypothalamic Amenorrhea (FHA) or lab results that are within the inclusion criteria. To ensure accurate case ascertainment before enrollment into the study, volunteers must have a diagnosis of FHA from a provider with previously performed lab tests, which will be reviewed and adjudicated by a women's health expert to confirm a diagnosis of FHA. If the potential participant doesn't have access or cannot obtain the required lab results, they can contact the study team to receive an at-home finger-stick hormone test (U.S. Specialty Labs) paid for by the study.",NON_PROBABILITY_SAMPLE
