nctId,ec_single,ner,relation
NCT02836548,Inclusion: Minimal acceptable safety laboratory values,"```json
[]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Type 2 diabetes mellitus""
    },
    {
        ""id"": 2,
        ""type"": ""Drug/Substance"",
        ""name"": ""Metformin""
    },
    {
        ""id"": 3,
        ""type"": ""Measurement"",
        ""name"": ""Serum creatinine""
    },
    {
        ""id"": 4,
        ""type"": ""Procedure/Device"",
        ""name"": ""Chemotherapy""
    },
    {
        ""id"": 5,
        ""type"": ""Observation"",
        ""name"": ""Smoking""
    },
    {
        ""id"": 6,
        ""type"": ""Observation"",
        ""name"": ""30 to 75 years old"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 30,
                ""upper_bound"": 75,
                ""unit"": ""years""
            }
        }
    }
]
```"
NCT02836548,Inclusion: Negative pregnancy test (urine/serum) within 72 hours before receiving the first dose of study medication for female patients with childbearing potential;,"```json
[
    {
        ""entity"": ""Negative"",
        ""category"": ""Qualifiers/Modifiers""
    },
    {
        ""entity"": ""pregnancy test (urine/serum)"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""within 72 hours"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""before receiving the first dose of study medication"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""female patients with childbearing potential"",
        ""category"": ""Condition""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""female patients with childbearing potential""
    },
    {
        ""id"": 2,
        ""type"": ""Observation"",
        ""name"": ""pregnancy test (urine/serum)"",
        ""value"": {
            ""qualitative"": ""Negative""
        },
        ""temporal"": {
            ""start"": {
                ""number"": 72,
                ""unit"": ""hours""
            },
            ""end"": {
                ""number"": 0,
                ""unit"": ""hours""
            },
            ""reference_event"": 3
        }
    },
    {
        ""id"": 3,
        ""type"": ""Procedure/Device"",
        ""name"": ""receiving the first dose of study medication""
    }
]
```"
NCT02836548,"Inclusion: Able and willing to undergo fresh histological tumor sampling prior to start, upon treatment and upon progression of vorinostat.","```json
[
    {
        ""entity"": ""Able and willing"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""fresh histological tumor sampling"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""prior to start"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""upon treatment"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""upon progression"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""vorinostat"",
        ""category"": ""Drug/Substance""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""Able and willing""
    },
    {
        ""id"": 2,
        ""type"": ""Procedure/Device"",
        ""name"": ""fresh histological tumor sampling"",
        ""temporal"": {
            ""start"": {
                ""number"": 0,
                ""unit"": ""days""
            },
            ""end"": {
                ""number"": 0,
                ""unit"": ""days""
            },
            ""reference_event"": 1
        }
    },
    {
        ""id"": 3,
        ""type"": ""Drug/Substance"",
        ""name"": ""vorinostat""
    }
]
```"
NCT02836548,"Exclusion: Any treatment with investigational drugs, except BRAFi and MEKi, within 28 days prior to receiving the first dose of investigational treatment; or 21 days for standard chemotherapy and immunotherapy;","```json
[
    {
        ""entity"": ""treatment with investigational drugs"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""BRAFi"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""MEKi"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""within 28 days"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""prior to receiving the first dose of investigational treatment"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""21 days"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""standard chemotherapy"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""immunotherapy"",
        ""category"": ""Drug/Substance""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Drug/Substance"",
        ""name"": ""treatment with investigational drugs"",
        ""temporal"": {
            ""start"": {
                ""number"": 28,
                ""unit"": ""days""
            },
            ""reference_event"": 2
        }
    },
    {
        ""id"": 2,
        ""type"": ""Drug/Substance"",
        ""name"": ""BRAFi"",
        ""temporal"": {
            ""start"": {
                ""number"": 28,
                ""unit"": ""days""
            },
            ""reference_event"": 3
        }
    },
    {
        ""id"": 3,
        ""type"": ""Drug/Substance"",
        ""name"": ""MEKi"",
        ""temporal"": {
            ""start"": {
                ""number"": 28,
                ""unit"": ""days""
            },
            ""reference_event"": 4
        }
    },
    {
        ""id"": 4,
        ""type"": ""Drug/Substance"",
        ""name"": ""standard chemotherapy"",
        ""temporal"": {
            ""start"": {
                ""number"": 21,
                ""unit"": ""days""
            },
            ""reference_event"": 5
        }
    },
    {
        ""id"": 5,
        ""type"": ""Drug/Substance"",
        ""name"": ""immunotherapy"",
        ""temporal"": {
            ""start"": {
                ""number"": 21,
                ""unit"": ""days""
            },
            ""reference_event"": 6
        }
    }
]
```"
NCT02836548,Exclusion: Patients who have had previous treatment with vorinostat or other HDAC inhibitors;,"```json
[
    {
        ""entity"": ""previous treatment"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""vorinostat"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""HDAC inhibitors"",
        ""category"": ""Drug/Substance""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Procedure/Device"",
        ""name"": ""previous treatment""
    },
    {
        ""id"": 2,
        ""type"": ""Drug/Substance"",
        ""name"": ""vorinostat""
    },
    {
        ""id"": 3,
        ""type"": ""Drug/Substance"",
        ""name"": ""HDAC inhibitors""
    }
]
```"
NCT02836548,Exclusion: Leptomeningeal disease;,"```json
[
    {
        ""entity"": ""Leptomeningeal disease"",
        ""category"": ""Condition""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Leptomeningeal disease""
    }
]
```"
NCT02836548,Exclusion: Symptomatic brain metastasis. Patients previously treated or untreated for the condition and/or who are asymptomatic in the absence of corticosteroid therapy are allowed to enroll. Patients are not permitted to receive enzyme inducing anti-epileptic drugs or corticosteroids;,"```json
[
    {
        ""entity"": ""Symptomatic brain metastasis"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""previously treated"",
        ""category"": ""Qualifiers/Modifiers""
    },
    {
        ""entity"": ""untreated"",
        ""category"": ""Qualifiers/Modifiers""
    },
    {
        ""entity"": ""condition"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""asymptomatic"",
        ""category"": ""Qualifiers/Modifiers""
    },
    {
        ""entity"": ""absence of corticosteroid therapy"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""enzyme inducing anti-epileptic drugs"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""corticosteroids"",
        ""category"": ""Drug/Substance""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Symptomatic brain metastasis""
    },
    {
        ""id"": 2,
        ""type"": ""Condition"",
        ""name"": ""condition""
    },
    {
        ""id"": 3,
        ""type"": ""Drug/Substance"",
        ""name"": ""absence of corticosteroid therapy""
    },
    {
        ""id"": 4,
        ""type"": ""Drug/Substance"",
        ""name"": ""enzyme inducing anti-epileptic drugs""
    },
    {
        ""id"": 5,
        ""type"": ""Drug/Substance"",
        ""name"": ""corticosteroids""
    }
]
```"
NCT02836548,Exclusion: Clinical progression of melanoma in the first week of discontinuation of BRAFi or BRAFi/MEKi;,"```json
[
    {
        ""entity"": ""Clinical progression of melanoma"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""first week"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""discontinuation of BRAFi or BRAFi/MEKi"",
        ""category"": ""Procedure/Device""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Clinical progression of melanoma""
    },
    {
        ""id"": 2,
        ""type"": ""Procedure/Device"",
        ""name"": ""discontinuation of BRAFi or BRAFi/MEKi"",
        ""temporal"": {
            ""start"": {
                ""number"": 1,
                ""unit"": ""week""
            },
            ""reference_event"": 1
        }
    }
]
```"
NCT02836548,Exclusion: Woman who are pregnant or breast feeding;,"```json
[
    {
        ""entity"": ""pregnant"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""breast feeding"",
        ""category"": ""Condition""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""pregnant""
    },
    {
        ""id"": 2,
        ""type"": ""Condition"",
        ""name"": ""breast feeding""
    }
]
```"
NCT02836548,"Exclusion: Unreliable contraceptive methods. Both men and women enrolled in this trial must agree to use a reliable contraceptive method from screening until 30 days after the last dose of study medication (adequate contraceptive methods are: oral or injected or implanted hormonal methods of contraception, condom, sterilization, other barrier contraceptive measures preferably in combination with condoms, true abstinence);","```json
[]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Type 2 diabetes mellitus""
    },
    {
        ""id"": 2,
        ""type"": ""Drug/Substance"",
        ""name"": ""Metformin""
    },
    {
        ""id"": 3,
        ""type"": ""Measurement"",
        ""name"": ""Serum creatinine""
    },
    {
        ""id"": 4,
        ""type"": ""Procedure/Device"",
        ""name"": ""Chemotherapy""
    },
    {
        ""id"": 5,
        ""type"": ""Observation"",
        ""name"": ""Smoking""
    },
    {
        ""id"": 6,
        ""type"": ""Observation"",
        ""name"": ""30 to 75 years old"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 30,
                ""upper_bound"": 75,
                ""unit"": ""years""
            }
        }
    }
]
```"
NCT02836548,Exclusion: Radiotherapy within the last 4 weeks prior to receiving the first dose of investigational treatment; except 1x8 Gray for pain palliation;,"```json
[
    {
        ""entity"": ""Radiotherapy"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""within the last 4 weeks"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""prior to receiving the first dose of investigational treatment"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""1x8 Gray"",
        ""category"": ""Measurement""
    },
    {
        ""entity"": ""pain palliation"",
        ""category"": ""Procedure/Device""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Procedure/Device"",
        ""name"": ""Radiotherapy"",
        ""temporal"": {
            ""start"": {
                ""number"": 4,
                ""unit"": ""weeks""
            },
            ""reference_event"": ""prior to receiving the first dose of investigational treatment""
        }
    },
    {
        ""id"": 2,
        ""type"": ""Procedure/Device"",
        ""name"": ""pain palliation"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 1,
                ""upper_bound"": 8,
                ""unit"": ""Gray""
            }
        }
    }
]
```"
NCT02836548,Exclusion: Uncontrolled infectious disease or known Human Immunodeficiency Virus HIV-1 or HIV-2 type patients;,"```json
[
    {
        ""entity"": ""Uncontrolled infectious disease"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""known Human Immunodeficiency Virus HIV-1 or HIV-2"",
        ""category"": ""Condition""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Uncontrolled infectious disease""
    },
    {
        ""id"": 2,
        ""type"": ""Condition"",
        ""name"": ""known Human Immunodeficiency Virus HIV-1 or HIV-2""
    }
]
```"
NCT02836548,Exclusion: Patients with a known history of hepatitis B or C;,"```json
[
    {
        ""entity"": ""known history"",
        ""category"": ""Qualifiers/Modifiers""
    },
    {
        ""entity"": ""hepatitis B"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""hepatitis C"",
        ""category"": ""Condition""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""hepatitis B""
    },
    {
        ""id"": 2,
        ""type"": ""Condition"",
        ""name"": ""hepatitis C""
    }
]
```"
NCT02836548,Exclusion: Recent myocardial infarction (\< 6 months before receiving the first dose of study medication) or unstable angina;,"```json
[
    {
        ""entity"": ""Recent myocardial infarction"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""< 6 months"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""before receiving the first dose of study medication"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""unstable angina"",
        ""category"": ""Condition""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Recent myocardial infarction"",
        ""temporal"": {
            ""start"": {
                ""number"": 6,
                ""unit"": ""months""
            },
            ""reference_event"": ""receiving the first dose of study medication""
        }
    },
    {
        ""id"": 2,
        ""type"": ""Condition"",
        ""name"": ""unstable angina""
    }
]
```"
NCT04526730,"Inclusion: Participant must be ≥ 18 years of age inclusive, at the time of signing the informed consent","```json
[
    {
        ""entity"": ""≥ 18 years"",
        ""category"": ""Measurement""
    },
    {
        ""entity"": ""age"",
        ""category"": ""Observation""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""age"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 18,
                ""unit"": ""years""
            }
        }
    }
]
```"
NCT04526730,Inclusion: Histologic diagnosis of melanoma,"```json
[
    {
        ""entity"": ""Histologic diagnosis"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""melanoma"",
        ""category"": ""Condition""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""Histologic diagnosis""
    },
    {
        ""id"": 2,
        ""type"": ""Condition"",
        ""name"": ""melanoma""
    }
]
```"
NCT04526730,Inclusion: Must be considered surgically operable and may present as any of the following groups:,"```json
[]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Type 2 diabetes mellitus""
    },
    {
        ""id"": 2,
        ""type"": ""Drug/Substance"",
        ""name"": ""Metformin""
    },
    {
        ""id"": 3,
        ""type"": ""Measurement"",
        ""name"": ""Serum creatinine""
    },
    {
        ""id"": 4,
        ""type"": ""Procedure/Device"",
        ""name"": ""Chemotherapy""
    },
    {
        ""id"": 5,
        ""type"": ""Observation"",
        ""name"": ""Smoking""
    },
    {
        ""id"": 6,
        ""type"": ""Observation"",
        ""name"": ""30 to 75 years old"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 30,
                ""upper_bound"": 75,
                ""unit"": ""years""
            }
        }
    }
]
```"
NCT04526730,"Inclusion: Participants are eligible for this study either at presentation for primary melanoma with concurrent regional nodal and/or in-transit or distant metastasis, or at the time of clinically detected nodal, in transit, or distant recurrence","```json
[
    {
        ""entity"": ""primary melanoma"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""concurrent regional nodal metastasis"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""in-transit metastasis"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""distant metastasis"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""clinically detected nodal recurrence"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""in transit recurrence"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""distant recurrence"",
        ""category"": ""Condition""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""primary melanoma""
    },
    {
        ""id"": 2,
        ""type"": ""Condition"",
        ""name"": ""concurrent regional nodal metastasis""
    },
    {
        ""id"": 3,
        ""type"": ""Condition"",
        ""name"": ""in-transit metastasis""
    },
    {
        ""id"": 4,
        ""type"": ""Condition"",
        ""name"": ""distant metastasis""
    },
    {
        ""id"": 5,
        ""type"": ""Condition"",
        ""name"": ""clinically detected nodal recurrence""
    },
    {
        ""id"": 6,
        ""type"": ""Condition"",
        ""name"": ""in transit recurrence""
    },
    {
        ""id"": 7,
        ""type"": ""Condition"",
        ""name"": ""distant recurrence""
    }
]
```"
NCT04526730,"Inclusion: Participants must be evaluated by standard-of-care full body imaging studies including positron emission tomography - computed tomography (PET-CT ;preferred; including diagnostic CT component if possible) or CT (if PET-CT cannot be done) as well as magnetic resonance imaging (MRI) of the brain (or CT if MRI cannot be done) as part of the initial clinical work-up at Screening (no more than 4 weeks prior to Cycle 1, Day 1).","```json
[
    {
        ""entity"": ""standard-of-care full body imaging studies"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""positron emission tomography - computed tomography (PET-CT)"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""diagnostic CT component"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""CT"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""magnetic resonance imaging (MRI) of the brain"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""CT"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""no more than 4 weeks prior to Cycle 1, Day 1"",
        ""category"": ""Temporal Constraints""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Procedure/Device"",
        ""name"": ""standard-of-care full body imaging studies""
    },
    {
        ""id"": 2,
        ""type"": ""Procedure/Device"",
        ""name"": ""positron emission tomography - computed tomography (PET-CT)""
    },
    {
        ""id"": 3,
        ""type"": ""Procedure/Device"",
        ""name"": ""diagnostic CT component""
    },
    {
        ""id"": 4,
        ""type"": ""Procedure/Device"",
        ""name"": ""CT""
    },
    {
        ""id"": 5,
        ""type"": ""Procedure/Device"",
        ""name"": ""magnetic resonance imaging (MRI) of the brain""
    },
    {
        ""id"": 6,
        ""type"": ""Procedure/Device"",
        ""name"": ""CT"",
        ""temporal"": {
            ""start"": {
                ""number"": 4,
                ""unit"": ""weeks""
            },
            ""reference_event"": 1
        }
    }
]
```"
NCT04526730,"Inclusion: Have measurable disease based on RECIST v1.1, with at least one anatomically distinct lesion. Lesion or lesions must meet all the following baseline criteria:","```json
[
    {
        ""entity"": ""measurable disease"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""RECIST v1.1"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""at least one anatomically distinct lesion"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""Lesion"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""lesions"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""baseline criteria"",
        ""category"": ""Observation""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""measurable disease""
    },
    {
        ""id"": 2,
        ""type"": ""Observation"",
        ""name"": ""RECIST v1.1""
    },
    {
        ""id"": 3,
        ""type"": ""Condition"",
        ""name"": ""at least one anatomically distinct lesion"",
        ""occurrence"": {
            ""operator"": ""at least"",
            ""number"": 1
        }
    },
    {
        ""id"": 4,
        ""type"": ""Condition"",
        ""name"": ""Lesion""
    },
    {
        ""id"": 5,
        ""type"": ""Condition"",
        ""name"": ""lesions""
    },
    {
        ""id"": 6,
        ""type"": ""Observation"",
        ""name"": ""baseline criteria""
    }
]
```"
NCT04526730,Inclusion: Contraceptive use by men or women should be consistent with local regulations regarding the methods of contraception for those participating in clinical studies.,"```json
[]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Type 2 diabetes mellitus""
    },
    {
        ""id"": 2,
        ""type"": ""Drug/Substance"",
        ""name"": ""Metformin""
    },
    {
        ""id"": 3,
        ""type"": ""Measurement"",
        ""name"": ""Serum creatinine""
    },
    {
        ""id"": 4,
        ""type"": ""Procedure/Device"",
        ""name"": ""Chemotherapy""
    },
    {
        ""id"": 5,
        ""type"": ""Observation"",
        ""name"": ""Smoking""
    },
    {
        ""id"": 6,
        ""type"": ""Observation"",
        ""name"": ""30 to 75 years old"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 30,
                ""upper_bound"": 75,
                ""unit"": ""years""
            }
        }
    }
]
```"
NCT04526730,"Inclusion: Male Participants: Male subjects of childbearing potential must be surgically sterile, or must agree to use adequate method of contraception during the study and at least 5 months following the last day of study drug administration. Note: Abstinence is acceptable if this is the usual lifestyle and preferred contraception for the subject","```json
[]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Type 2 diabetes mellitus""
    },
    {
        ""id"": 2,
        ""type"": ""Drug/Substance"",
        ""name"": ""Metformin""
    },
    {
        ""id"": 3,
        ""type"": ""Measurement"",
        ""name"": ""Serum creatinine""
    },
    {
        ""id"": 4,
        ""type"": ""Procedure/Device"",
        ""name"": ""Chemotherapy""
    },
    {
        ""id"": 5,
        ""type"": ""Observation"",
        ""name"": ""Smoking""
    },
    {
        ""id"": 6,
        ""type"": ""Observation"",
        ""name"": ""30 to 75 years old"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 30,
                ""upper_bound"": 75,
                ""unit"": ""years""
            }
        }
    }
]
```"
