,nctId,eligibilityCriteria,healthyVolunteers,sex,genderBased,minimumAge,maximumAge,stdAges,studyPopulation,samplingMethod,eligibilityCriteria_cleaned,studyPopulation_cleaned
10,NCT03018366,"Inclusion Criteria:

For premenopausal Hypo E and normal control women, inclusions include:

* Premenopausal currently not on hormone therapy,
* English speaking (for the purposes of complete psychosocial assessment)
* able to give informed consent
* a gynecological age (age since menarche) \> 10 and \< 25 years, and chronological age \> 18 years
* Within 90-110% of ideal body weight as determined by the 1983 Metropolitan Height and weight table for women
* All participants with hypothalamic amenorrhea will be diagnosed based on exclusion of other etiologies for their amenorrhea, including pregnancy, thyroid dysfunction, hyperprolactinemia, premature ovarian insufficiency, and polycystic ovary disease

For recently menopausal women inclusions include:

* Follicle stimulating hormones (FSH) \>30 and 12 months of amenorrhea, within 3 years of final menstrual period with natural menopausal not on hormone therapy
* English speaking
* Able to give informed consent
* Within 90-110% of ideal body weight

Exclusion Criteria:

For premenopausal Hypo E and normal control women exclusions include:

* Smoking
* Hypertension
* Hyperlipidemia
* Diabetes
* Medications including psychotropic or illicit drugs, medical, neurological
* Ophthalmologic disease except acuity problems
* Major Axis I disorder other than depression
* Pregnancy in the last 12 months and/or lactating in the last 6 months
* Current use of hormone contraceptive or any estrogen or progestin therapy

For HypoE women, exclusion criteria include:

- Allergy to adhesive or tape

For recently menopausal women exclusions also include:

* Previous or current use of hormone therapy, estrogen or progestin
* Surgical or chemotherapy induced menopause
* Premature ovarian failure",True,FEMALE,,18 Years,60 Years,['ADULT'],,,inclusion criteria   for premenopausal hypo e and normal control women  inclusions include     premenopausal currently not on hormone therapy    english speaking  for the purposes of complete psychosocial assessment    able to give informed consent   a gynecological age  age since menarche     10 and    25 years  and chronological age    18 years   within 90 110  of ideal body weight as determined by the 1983 metropolitan height and weight table for women   all participants with hypothalamic amenorrhea will be diagnosed based on exclusion of other etiologies for their amenorrhea  including pregnancy  thyroid dysfunction  hyperprolactinemia  premature ovarian insufficiency  and polycystic ovary disease  for recently menopausal women inclusions include     follicle stimulating hormones  fsh    30 and 12 months of amenorrhea  within 3 years of final menstrual period with natural menopausal not on hormone therapy   english speaking   able to give informed consent   within 90 110  of ideal body weight  exclusion criteria   for premenopausal hypo e and normal control women exclusions include     smoking   hypertension   hyperlipidemia   diabetes   medications including psychotropic or illicit drugs  medical  neurological   ophthalmologic disease except acuity problems   major axis i disorder other than depression   pregnancy in the last 12 months and or lactating in the last 6 months   current use of hormone contraceptive or any estrogen or progestin therapy  for hypoe women  exclusion criteria include     allergy to adhesive or tape  for recently menopausal women exclusions also include     previous or current use of hormone therapy  estrogen or progestin   surgical or chemotherapy induced menopause   premature ovarian failure,
11,NCT02984696,"Inclusion Criteria:

* Hypotalamic Amenorrhea

Exclusion Criteria:

* diabetes mellitus (or impaired glucose tolerance as determined by a standard 75 gr oral glucose tolerance test)
* hypertension
* significant liver or renal impairment
* other hormonal dysfunction (hypothalamic, pituitary, PCOS, thiroidal or adrenal)
* neoplasms",False,FEMALE,,18 Years,35 Years,['ADULT'],,,inclusion criteria     hypotalamic amenorrhea  exclusion criteria     diabetes mellitus  or impaired glucose tolerance as determined by a standard 75 gr oral glucose tolerance test    hypertension   significant liver or renal impairment   other hormonal dysfunction  hypothalamic  pituitary  pcos  thiroidal or adrenal    neoplasms,
12,NCT02871986,"Inclusion Criteria:

1. Have a diagnosis of hypogonadism (Turner's syndrome, hypogonadotrophic hypogonadism, primary ovarian insufficiency, hypopituitarism, hypothalamic amenorrhoea, transgender)
2. ≥ 10 years of age
3. Oestrogen naïve i.e. no prior commencement of oestrogen treatment
4. Breast Tanner stage ≤ than 2

Exclusion Criteria:

1. Previous oncology treatment
2. Primary amenorrhoea secondary to chronic medical comorbidity
3. PCOS diagnosis",False,ALL,,10 Years,30 Years,"['CHILD', 'ADULT']",Individuals with hypogonadism requiring pubertal induction,PROBABILITY_SAMPLE,inclusion criteria   1  have a diagnosis of hypogonadism  turner s syndrome  hypogonadotrophic hypogonadism  primary ovarian insufficiency  hypopituitarism  hypothalamic amenorrhoea  transgender  2    10 years of age 3  oestrogen naïve i e  no prior commencement of oestrogen treatment 4  breast tanner stage   than 2  exclusion criteria   1  previous oncology treatment 2  primary amenorrhoea secondary to chronic medical comorbidity 3  pcos diagnosis,individuals with hypogonadism requiring pubertal induction
13,NCT05448924,"Inclusion Criteria:

* A single female participant with amenorrhea

Exclusion Criteria:

* The study only included the above subject",False,FEMALE,,,,"['CHILD', 'ADULT', 'OLDER_ADULT']",This 14-year old female came to the gynaecology clinic with a chief complaint of amenorrhea,NON_PROBABILITY_SAMPLE,inclusion criteria     a single female participant with amenorrhea  exclusion criteria     the study only included the above subject,this 14 year old female came to the gynaecology clinic with a chief complaint of amenorrhea
14,NCT00556036,"Inclusion Criteria:

* Amenorrhea for at least three months (unless participating as healthy control)
* Normal TSH or free thyroxine (free T4).

Exclusion Criteria:

* A condition known to affect bone metabolism, including Cushing's syndrome or renal failure, with the exception of bone fracture.
* Any medication known to affect bone metabolism within 3 months of the study, including estrogen and progestins. Patients receiving depot medroxyprogesterone (Depo-Provera) will be excluded from participating for 6 months after their last injection.
* Pregnant and/or breastfeeding.
* Diabetes mellitus.
* Active substance abuse, including alcohol.",True,FEMALE,,18 Years,45 Years,['ADULT'],community sample and referrals by specialists,NON_PROBABILITY_SAMPLE,inclusion criteria     amenorrhea for at least three months  unless participating as healthy control    normal tsh or free thyroxine  free t4    exclusion criteria     a condition known to affect bone metabolism  including cushing s syndrome or renal failure  with the exception of bone fracture    any medication known to affect bone metabolism within 3 months of the study  including estrogen and progestins  patients receiving depot medroxyprogesterone  depo provera  will be excluded from participating for 6 months after their last injection    pregnant and or breastfeeding    diabetes mellitus    active substance abuse  including alcohol,community sample and referrals by specialists
15,NCT02858336,"* INCLUSION CRITERIA:

Participants will be enrolled without regard to race or ethnicity. Each potential participant must meet all of the following inclusion criteria in order to be eligible to enroll in the study:

1. Female
2. Between 18 and 28 years of age (inclusive)
3. Reported menarche between the ages of 11 and 14 years
4. Gynecological age of less than or equal to 14 years
5. A history of self-reported regular menstrual cycles when not on contraceptive medication of between 25 and 35 days (inclusive) at prescreen and knowledge of date of onset of menses before the screening visit
6. A BMI of 18.5 to 27 kg (Summation)m(2) and a weight \>= 93 lbs.
7. Agrees to use barrier contraception method for the duration of the study and the follow up period
8. Agrees to abstain from alcohol consumption during both 5-day diet/exercise study interventions
9. Agrees to abstain from donating blood during the study and within 30 days of completing the study
10. Agrees to abstain from biotin supplements for the duration of the study
11. Is willing and able to fulfill the requirements of the protocol and to provide informed consent
12. Able to speak and read English
13. Lives within 50 miles of the Clinical Research Unit

EXCLUSION CRITERIA:

A potential participant meeting any of the following exclusion criteria is not eligible to enroll in the study:

1. Currently lactating or pregnant or planning on becoming pregnant for the duration of the study
2. Has ever given birth
3. History in the past 3 months of dieting or weight loss amounting to greater than 2 kg
4. \> 4 hours per week of aerobic exercise for the past 3 months
5. Has initiated training for an athletic sport or event in the past 3 months that, in the opinion of the investigator, may interfere with the results of the study
6. Currently using hormone-based contraception, including those administered orally, vaginally, via injection, sub-dermally, or transdermally
7. Current use of medications or supplements that may interfere with the results of the study, including:

   i.Steroids

   ii.Hormone-based contraception

   iii.Sleeping pills

   iv.Homeopathic substances (e.g. Chinese herbs, protein or other powders, and other-the-counter extracts)

   v.Stimulants (e.g. Ritalin)

   vi.Antidepressants or anti-epileptic medications or centrally acting anti-hypertensive medications
8. Current use of recreational drugs (alcohol intake will be monitored and excluded during the two intervention periods)
9. Unable to consume food containing dairy or nuts
10. Has currently or has a history of any of the following: autoimmune, heart, liver, renal disease, diabetes, or another health condition deemed by the PI to be a contraindication to study participation. History of thyroid disorder is permissible if the patient is biochemically euthyroid on replacement.

Additional Eligibility Criteria to be Met Prior to Start of Intervention(s):

Criteria 1 Habitual energy intake between 35-55 kcal/kg LBM\*day

Criteria 2 VO2max less than or equal to 40 ml/kg/min with the option to increase this at the discretion of the PI, depending on the current and past exercise level of the participant.

Criteria 3 Hemoglobin, prolactin and TSH within normal female range for testing laboratory.

Criteria 4 Ovulation confirmed in the cycle before each study intervention by self-reported positive urine test, ultrasound and/or progesterone blood-levels",False,FEMALE,,18 Years,28 Years,['ADULT'],,,inclusion criteria   participants will be enrolled without regard to race or ethnicity  each potential participant must meet all of the following inclusion criteria in order to be eligible to enroll in the study   1  female 2  between 18 and 28 years of age  inclusive  3  reported menarche between the ages of 11 and 14 years 4  gynecological age of less than or equal to 14 years 5  a history of self reported regular menstrual cycles when not on contraceptive medication of between 25 and 35 days  inclusive  at prescreen and knowledge of date of onset of menses before the screening visit 6  a bmi of 18 5 to 27 kg  summation m 2  and a weight     93 lbs  7  agrees to use barrier contraception method for the duration of the study and the follow up period 8  agrees to abstain from alcohol consumption during both 5 day diet exercise study interventions 9  agrees to abstain from donating blood during the study and within 30 days of completing the study 10  agrees to abstain from biotin supplements for the duration of the study 11  is willing and able to fulfill the requirements of the protocol and to provide informed consent 12  able to speak and read english 13  lives within 50 miles of the clinical research unit  exclusion criteria   a potential participant meeting any of the following exclusion criteria is not eligible to enroll in the study   1  currently lactating or pregnant or planning on becoming pregnant for the duration of the study 2  has ever given birth 3  history in the past 3 months of dieting or weight loss amounting to greater than 2 kg 4     4 hours per week of aerobic exercise for the past 3 months 5  has initiated training for an athletic sport or event in the past 3 months that  in the opinion of the investigator  may interfere with the results of the study 6  currently using hormone based contraception  including those administered orally  vaginally  via injection  sub dermally  or transdermally 7  current use of medications or supplements that may interfere with the results of the study  including      i steroids     ii hormone based contraception     iii sleeping pills     iv homeopathic substances  e g  chinese herbs  protein or other powders  and other the counter extracts      v stimulants  e g  ritalin      vi antidepressants or anti epileptic medications or centrally acting anti hypertensive medications 8  current use of recreational drugs  alcohol intake will be monitored and excluded during the two intervention periods  9  unable to consume food containing dairy or nuts 10  has currently or has a history of any of the following  autoimmune  heart  liver  renal disease  diabetes  or another health condition deemed by the pi to be a contraindication to study participation  history of thyroid disorder is permissible if the patient is biochemically euthyroid on replacement   additional eligibility criteria to be met prior to start of intervention s    criteria 1 habitual energy intake between 35 55 kcal kg lbm  day  criteria 2 vo2max less than or equal to 40 ml kg min with the option to increase this at the discretion of the pi  depending on the current and past exercise level of the participant   criteria 3 hemoglobin  prolactin and tsh within normal female range for testing laboratory   criteria 4 ovulation confirmed in the cycle before each study intervention by self reported positive urine test  ultrasound and or progesterone blood levels,
16,NCT05967819,"Inclusion Criteria:

* participates in structured running or cycling exercise for at least 30 minutes on 4 days per week or more
* have regular periods every 21 to 35 days
* have not used hormonal contraceptives for at least the past 6 months
* are not currently or trying to become pregnant or are breastfeeding, and have not been pregnant or breastfeeding for the past 12 months
* have never been diagnosed with a menstrual cycle disorder (e.g., menorrhagia, amenorrhea, dysmenorrhea, polycystic ovary syndrome \[PCOS\], endometriosis, premenstrual dysphoric disorder \[PMDD\], menstrual migraines, ovarian cancer, ovarian insufficiency, uterine or endometrial cancer)
* have never been diagnosed with a metabolic disease (e.g., hypothyroidism, hyperthyroidism, Cushing disease, Addison's disease, diabetes)

Exclusion Criteria:

* missing \> 4 consecutive days of aerobic exercise (i.e., running, cycling, cross training) if assigned to the exercise intervention groups
* they indicate they ""Could not participate at all due to a health problem"" or have had to modify their exercise training, felt their injury, illness, or other health problem has affected their exercise performance, or experienced symptoms/ health complaints greater than ""To a minor extent"" on the Oslo Sports Trauma Research Center Questionnaire (exercise training intervention group)
* demonstrate clinical low energy availability as defined as energy availability \<30 Kcal/kg fat free mass in the first two months of at-home monitoring
* report menstrual cycle lengths \<21 days or \>35 days in the first two months of at-home monitoring
* do not demonstrate an anticipated rise in progesterone levels during the latter half of their cycle and luteinizing hormone levels at mid-cycle compared to tests taken during the first few days after menses in the first two months of at-home monitoring
* begin taking a hormonal contraceptive
* become pregnant
* are diagnosed with a menstrual cycle disorder (e.g., menorrhagia, amenorrhea, dysmenorrhea, polycystic ovary syndrome \[PCOS\], endometriosis, premenstrual dysphoric disorder \[PMDD\], menstrual migraines, ovarian cancer, ovarian insufficiency, uterine or endometrial cancer)
* are diagnosed with a metabolic disease (e.g., hypothyroidism, hyperthyroidism, Cushing disease, Addison's disease, diabetes), 10) are diagnosed with a major cardiovascular disease, respiratory disease, or musculoskeletal injury
* are unable to follow instructions for any of the procedures",True,FEMALE,,18 Years,35 Years,['ADULT'],,,inclusion criteria     participates in structured running or cycling exercise for at least 30 minutes on 4 days per week or more   have regular periods every 21 to 35 days   have not used hormonal contraceptives for at least the past 6 months   are not currently or trying to become pregnant or are breastfeeding  and have not been pregnant or breastfeeding for the past 12 months   have never been diagnosed with a menstrual cycle disorder  e g   menorrhagia  amenorrhea  dysmenorrhea  polycystic ovary syndrome   pcos    endometriosis  premenstrual dysphoric disorder   pmdd    menstrual migraines  ovarian cancer  ovarian insufficiency  uterine or endometrial cancer    have never been diagnosed with a metabolic disease  e g   hypothyroidism  hyperthyroidism  cushing disease  addison s disease  diabetes   exclusion criteria     missing    4 consecutive days of aerobic exercise  i e   running  cycling  cross training  if assigned to the exercise intervention groups   they indicate they  could not participate at all due to a health problem  or have had to modify their exercise training  felt their injury  illness  or other health problem has affected their exercise performance  or experienced symptoms  health complaints greater than  to a minor extent  on the oslo sports trauma research center questionnaire  exercise training intervention group    demonstrate clinical low energy availability as defined as energy availability   30 kcal kg fat free mass in the first two months of at home monitoring   report menstrual cycle lengths   21 days or   35 days in the first two months of at home monitoring   do not demonstrate an anticipated rise in progesterone levels during the latter half of their cycle and luteinizing hormone levels at mid cycle compared to tests taken during the first few days after menses in the first two months of at home monitoring   begin taking a hormonal contraceptive   become pregnant   are diagnosed with a menstrual cycle disorder  e g   menorrhagia  amenorrhea  dysmenorrhea  polycystic ovary syndrome   pcos    endometriosis  premenstrual dysphoric disorder   pmdd    menstrual migraines  ovarian cancer  ovarian insufficiency  uterine or endometrial cancer    are diagnosed with a metabolic disease  e g   hypothyroidism  hyperthyroidism  cushing disease  addison s disease  diabetes   10  are diagnosed with a major cardiovascular disease  respiratory disease  or musculoskeletal injury   are unable to follow instructions for any of the procedures,
17,NCT01165619,"Inclusion Criteria:

* Over the age of 18 for men
* Between the ages of 18 and 40 for women
* For reproductive disorder population: Current or previous diagnosis of Idiopathic Hypogonadotropic Hypogonadism or Hypothalamic Amenorrhea

Exclusion Criteria:

* chronic disease (hypertension, high cholesterol, diabetes, asthma, etc)
* polycystic ovarian syndrome for women
* prescription medication use (other than allergy meds) for control populations
* irregular menstrual cycles for healthy female control population (cycle length longer than 35 days or shorter than 25 days. cycle length varies by more than 5 days. less than 9 periods per year)",True,ALL,,18 Years,40 Years,['ADULT'],The reproductive disorder populations will be recruited from the reproductive endocrine clinic at the Mass General Hospital. The control populations will be recruited from Boston and surrounding communities,PROBABILITY_SAMPLE,inclusion criteria     over the age of 18 for men   between the ages of 18 and 40 for women   for reproductive disorder population  current or previous diagnosis of idiopathic hypogonadotropic hypogonadism or hypothalamic amenorrhea  exclusion criteria     chronic disease  hypertension  high cholesterol  diabetes  asthma  etc    polycystic ovarian syndrome for women   prescription medication use  other than allergy meds  for control populations   irregular menstrual cycles for healthy female control population  cycle length longer than 35 days or shorter than 25 days  cycle length varies by more than 5 days  less than 9 periods per year,the reproductive disorder populations will be recruited from the reproductive endocrine clinic at the mass general hospital  the control populations will be recruited from boston and surrounding communities
18,NCT00130117,"Inclusion criteria for HA subjects

* Hypothalamic amenorrhea of at least 6 months duration with low or normal LH and FSH, e.g. due to strenuous exercise (running \>20 miles per week or equivalent) or low weight
* Can be secondary HA OR primary HA with some pubertal development and normal screening labs
* Age 18-35 years old
* Body weight within +/- 15% of ideal body weight and stable for 6 months (no change \> 5 lbs)
* Baseline leptin \<5 ng/mL (except for the Cognitive Sub-Study Baseline visit where baseline leptin will be greater than 5ng/mL)

Inclusion criteria for eumenorrheic controls for Reward Sub-study

* Normal menstrual cycles (between 25 and 35 days)
* Age 18-35
* Body weight within +/- 15% of ideal body weight and stable 6 months (no change \> 5 lbs)
* Baseline leptin \>5 ng/mL

Exclusion criteria:

* We will exclude subjects with:
* Significant medical history that may affect the concentrations of the hormones to studied or ability to participate in the study
* renal or hepatic disease (creatinine \> 1.4, AST/ALT \> 2x upper limit of normal)
* diagnosed diabetes mellitus
* myocardial ischemia
* malignancy (other than basal cell carcinoma of the skin or in situ carcinoma of the cervix)
* malabsorption
* alcoholism, drug abuse, or smoking
* active eating disorder
* depression or other psychiatric disease
* anemia (Hb10 gm/dL on 2 occasions)
* Conditions that are contraindicated for oral contraceptive use:
* Thrombophlebitis or thromboembolic disorders
* A past history of deep vein thrombophlebitis or thromboembolic disorders
* Cerebral vascular or coronary artery disease
* Known or suspected carcinoma of the breast
* Carcinoma of the endometrium or other known or suspected estrogen-dependent neoplasia
* Undiagnosed abnormal genital bleeding
* Hepatic adenomas or carcinomas
* Cholestatic jaundice of pregnancy or jaundice with prior OCP use
* Other endocrine causes of amenorrhea, e.g.
* hyperprolactinemia
* hypothyroidism or hyperthyroidism
* Cushing's syndrome
* congenital adrenal hyperplasia (elevated 17 OH progesterone)
* polycystic ovarian syndrome (elevated androgens or LH/FSH ratio \>1.5)
* primary ovarian failure (elevated FSH)
* On medications known to affect the hormones to be measured such as
* glucocorticoids
* anti seizure medications
* thyroid hormones
* estrogen (must be off at least 3 months prior to participating in the study)
* A known history of anaphylaxis or anaphylactoid-like reactions, or a known hypersensitivity to E. Coli derived proteins
* Breast feeding, pregnant, or wanting to become pregnant during the next 6 months.
* We will screen for these conditions through a detailed history and systems review, physical examination, laboratory evaluation (as described above in Screening Methods), and EKG.
* In the Reward Sub-study subjects will be asked to fill out a standard BIDMC MRI safety screening form prior to entering the magnet.",True,FEMALE,,18 Years,35 Years,['ADULT'],,,inclusion criteria for ha subjects    hypothalamic amenorrhea of at least 6 months duration with low or normal lh and fsh  e g  due to strenuous exercise  running   20 miles per week or equivalent  or low weight   can be secondary ha or primary ha with some pubertal development and normal screening labs   age 18 35 years old   body weight within     15  of ideal body weight and stable for 6 months  no change    5 lbs    baseline leptin   5 ng ml  except for the cognitive sub study baseline visit where baseline leptin will be greater than 5ng ml   inclusion criteria for eumenorrheic controls for reward sub study    normal menstrual cycles  between 25 and 35 days    age 18 35   body weight within     15  of ideal body weight and stable 6 months  no change    5 lbs    baseline leptin   5 ng ml  exclusion criteria     we will exclude subjects with    significant medical history that may affect the concentrations of the hormones to studied or ability to participate in the study   renal or hepatic disease  creatinine    1 4  ast alt    2x upper limit of normal    diagnosed diabetes mellitus   myocardial ischemia   malignancy  other than basal cell carcinoma of the skin or in situ carcinoma of the cervix    malabsorption   alcoholism  drug abuse  or smoking   active eating disorder   depression or other psychiatric disease   anemia  hb10 gm dl on 2 occasions    conditions that are contraindicated for oral contraceptive use    thrombophlebitis or thromboembolic disorders   a past history of deep vein thrombophlebitis or thromboembolic disorders   cerebral vascular or coronary artery disease   known or suspected carcinoma of the breast   carcinoma of the endometrium or other known or suspected estrogen dependent neoplasia   undiagnosed abnormal genital bleeding   hepatic adenomas or carcinomas   cholestatic jaundice of pregnancy or jaundice with prior ocp use   other endocrine causes of amenorrhea  e g    hyperprolactinemia   hypothyroidism or hyperthyroidism   cushing s syndrome   congenital adrenal hyperplasia  elevated 17 oh progesterone    polycystic ovarian syndrome  elevated androgens or lh fsh ratio   1 5    primary ovarian failure  elevated fsh    on medications known to affect the hormones to be measured such as   glucocorticoids   anti seizure medications   thyroid hormones   estrogen  must be off at least 3 months prior to participating in the study    a known history of anaphylaxis or anaphylactoid like reactions  or a known hypersensitivity to e  coli derived proteins   breast feeding  pregnant  or wanting to become pregnant during the next 6 months    we will screen for these conditions through a detailed history and systems review  physical examination  laboratory evaluation  as described above in screening methods   and ekg    in the reward sub study subjects will be asked to fill out a standard bidmc mri safety screening form prior to entering the magnet,
19,NCT00889512,"Inclusion Criteria:

1. 30 women under 38 years old at time of signing Informed Consent Form.
2. Evidence of hypothalamic amenorrhea (irregular menses and FSH and LH \<5 mIU/mL), uncorrected hyperprolactinemia (prolactin levels 10% above the upper limit of normal) or iatrogenic hypothalamic hypogonadism secondary to GnRHa suppression.
3. In good general health off of current medications which may confound response to study medications except GnRHa (Lupron Depot).
4. Desire to seek pregnancy actively during the study period.
5. A normal uterine cavity must have been confirmed by either hysteroscopy or hydrosonogram within two years of entering the study.
6. A semen analysis on the male partner deemed adequate for IVF by the attending physician within the past year or donor sperm available for insemination.
7. Only one treatment cycle per patient will be studied.

Exclusion Criteria:

1. uncorrected thyroid disease.
2. heart disease (New York Heart Association Class II or higher).
3. a history of, or suspected cervical, endometrial, or breast cancer. A normal Pap smear result within the last 24 months will be required.
4. enrolled into other studies that require medications, limit sex, or otherwise prevent compliance with the protocol at the same time.
5. to take other medications known to affect reproduction.",False,FEMALE,,18 Years,38 Years,['ADULT'],,,inclusion criteria   1  30 women under 38 years old at time of signing informed consent form  2  evidence of hypothalamic amenorrhea  irregular menses and fsh and lh   5 miu ml   uncorrected hyperprolactinemia  prolactin levels 10  above the upper limit of normal  or iatrogenic hypothalamic hypogonadism secondary to gnrha suppression  3  in good general health off of current medications which may confound response to study medications except gnrha  lupron depot   4  desire to seek pregnancy actively during the study period  5  a normal uterine cavity must have been confirmed by either hysteroscopy or hydrosonogram within two years of entering the study  6  a semen analysis on the male partner deemed adequate for ivf by the attending physician within the past year or donor sperm available for insemination  7  only one treatment cycle per patient will be studied   exclusion criteria   1  uncorrected thyroid disease  2  heart disease  new york heart association class ii or higher   3  a history of  or suspected cervical  endometrial  or breast cancer  a normal pap smear result within the last 24 months will be required  4  enrolled into other studies that require medications  limit sex  or otherwise prevent compliance with the protocol at the same time  5  to take other medications known to affect reproduction,
20,NCT00383656,"Inclusion Criteria:

* Women and minors with GnRH deficiency or idiopathic hypogonadotropic hypogonadism (IHH) will have a history of primary amenorrhea, no evidence of abnormalities in other hormonal axes, a deficient pattern of luteinizing hormone (LH) and/or free alpha subunit (FAS) secretion on baseline sampling and a normal cranial CT or MRI.
* Women and minors with hypothalamic amenorrhea will have a history of secondary amenorrhea of at least six months duration with low or normal gonadotropins or a history of primary amenorrhea in the presence of pulsatile patterns of LH or FAS on baseline frequent sampling studies, BMI \> 18 kg/m2 and normal testosterone and prolactin levels.
* Women and minors with acquired hypogonadotropic hypogonadism will have a history of hypothalamic or pituitary tumor treated with surgery alone or in combination with radiotherapy or a history of hypothalamic irradiation as adjunctive therapy for leukemia or craniofacial neoplasms. There must be a minimum of 2 years since irradiation and no gonadal radiation. For the previous two months, patients will be euthyroid on thyroid replacement if needed, normoprolactinemic on dopamine agonists if needed, and receiving physiologic glucocorticoid replacement if needed.

Subjects will be otherwise healthy women and female minors between the ages of 16 and 45 years who have not been on gonadal steroid preparations for at least 1 month. Subjects will have normal complete blood count (hemoglobin greater than or equal to 11.5gm/dl) and thyroid function tests and a negative pregnancy test.

Exclusion Criteria:

Mitral valve prolapse with ballooning of the mitral valve will be cause for exclusion of the patient from intravenous GnRH treatment.",False,FEMALE,,16 Years,45 Years,"['CHILD', 'ADULT']",,,inclusion criteria     women and minors with gnrh deficiency or idiopathic hypogonadotropic hypogonadism  ihh  will have a history of primary amenorrhea  no evidence of abnormalities in other hormonal axes  a deficient pattern of luteinizing hormone  lh  and or free alpha subunit  fas  secretion on baseline sampling and a normal cranial ct or mri    women and minors with hypothalamic amenorrhea will have a history of secondary amenorrhea of at least six months duration with low or normal gonadotropins or a history of primary amenorrhea in the presence of pulsatile patterns of lh or fas on baseline frequent sampling studies  bmi    18 kg m2 and normal testosterone and prolactin levels    women and minors with acquired hypogonadotropic hypogonadism will have a history of hypothalamic or pituitary tumor treated with surgery alone or in combination with radiotherapy or a history of hypothalamic irradiation as adjunctive therapy for leukemia or craniofacial neoplasms  there must be a minimum of 2 years since irradiation and no gonadal radiation  for the previous two months  patients will be euthyroid on thyroid replacement if needed  normoprolactinemic on dopamine agonists if needed  and receiving physiologic glucocorticoid replacement if needed   subjects will be otherwise healthy women and female minors between the ages of 16 and 45 years who have not been on gonadal steroid preparations for at least 1 month  subjects will have normal complete blood count  hemoglobin greater than or equal to 11 5gm dl  and thyroid function tests and a negative pregnancy test   exclusion criteria   mitral valve prolapse with ballooning of the mitral valve will be cause for exclusion of the patient from intravenous gnrh treatment,
